CODINT_0;FLAG_0;FLAG_1;FLAG_2;FLAG_3;FLAG_4;FLAG_5;FLAG_6;FLAG_7;FLAG_8;FLAG_9;FLAG_10;FLAG_11;FLAG_12;OPTION_0;OPTION_1;OPTION_2;OPTION_3;OPTION_4;OPTION_5;OPTION_6;OPTION_7;OPTION_8;OPTION_9;OPTION_10;OPTION_11;OPTION_12;TYP_0;Texte0;Texte1;Texte2;Texte3;Texte4;Texte5;Texte6;Texte7;Texte8;Texte9;Texte10;Texte11;Texte12;Désignation
CPTACTSIM;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Activation simulations
CPTANA;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Modification analytique
CPTANUSIM;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Annulation simulations
CPTCLP;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Ecritures calculées
CPTDESSIM;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Désactivation simulations
CPTDSPANA;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Répartitions analytiques
CPTEXT;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Extournes
CPTLOT;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Validation des lots
CPTVAL;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Validation définitive
CPTVALSIM;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Validation simulations
EXSGEN;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Comptabilisation des frais
FRADSICTL;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Ctrl. signatures électroniques
FUNCFMINV;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Validation facture/avoir vente
FUNPIH;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Validation des factures
GENAVIDOM;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Génération domiciliations
GENBORREM;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Génération bordereau de remise
SOLABT;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Solde des abonnements
TRFSAC;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Transfert collectif
VALABT;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Génération abonnements
VALBIS;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;Factures en attente
VATSAI;U; ; ; ; ; ; ; ; ; ; ; ; ;14174;0;0;0;0;0;0;0;0;0;0;0;0;1;U-Accès par utilisateur;;;;;;;;;;;;;TVA déclarée
GESCAZ;T; ; ; ; ; ; ; ; ; ; ; ; ;3211;0;0;0;0;0;0;0;0;0;0;0;0;2;T-Transaction;;;;;;;;;;;;;Codes interdiction
GESGAS;T; ; ; ; ; ; ; ; ; ; ; ; ;3211;0;0;0;0;0;0;0;0;0;0;0;0;2;T-Transaction;;;;;;;;;;;;;Saisie pièces
GESLOT;T; ; ; ; ; ; ; ; ; ; ; ; ;3211;0;0;0;0;0;0;0;0;0;0;0;0;2;T-Transaction;;;;;;;;;;;;;Saisie lots
BATCHEXP;T; ; ; ; ; ; ; ; ; ; ; ; ;60;0;0;0;0;0;0;0;0;0;0;0;0;1;T-Traitement;;;;;;;;;;;;;#N/A
BATCHIMP;T; ; ; ; ; ; ; ; ; ; ; ; ;60;0;0;0;0;0;0;0;0;0;0;0;0;1;T-Traitement;;;;;;;;;;;;;#N/A
GEXPOBJ;T; ; ; ; ; ; ; ; ; ; ; ; ;60;0;0;0;0;0;0;0;0;0;0;0;0;1;T-Traitement;;;;;;;;;;;;;Exports
GIMPOBJ;T; ; ; ; ; ; ; ; ; ; ; ; ;60;0;0;0;0;0;0;0;0;0;0;0;0;1;T-Traitement;;;;;;;;;;;;;Imports
GESBPC;T; ; ; ; ; ; ; ; ; ; ; ; ;1596;6052;0;0;0;0;0;0;0;0;0;0;0;2;T-Tarif; -Toutes sociétés;;;;;;;;;;;;Clients
GESBPS;T; ; ; ; ; ; ; ; ; ; ; ; ;1596;6052;0;0;0;0;0;0;0;0;0;0;0;2;T-Tarif; -Toutes sociétés;;;;;;;;;;;;Fournisseurs
GESITM;T;c; ; ; ; ; ; ; ; ; ; ; ;1596;5010;0;0;0;0;0;0;0;0;0;0;0;2;T-Tarif;c-Coût;;;;;;;;;;;;Articles
GESPOD;T; ; ; ; ; ; ; ; ; ; ; ; ;17875;0;0;0;0;0;0;0;0;0;0;0;0;2;T-Solde;;;;;;;;;;;;;Demandes de livraisons
GESPOH;T;L;I; ; ; ; ; ; ; ; ; ; ;17875;50860;7445;0;0;0;0;0;0;0;0;0;0;2;T-Solde;L-Détail structure de coût;I-Emission;;;;;;;;;;;Commandes
GESPSH;T;G; ; ; ; ; ; ; ; ; ; ; ;17875;7042;0;0;0;0;0;0;0;0;0;0;0;2;T-Solde;G-Génération;;;;;;;;;;;;Demandes d'achat
GESPTH;T;K;L; ; ; ; ; ; ; ; ; ; ;17875;16462;50860;0;0;0;0;0;0;0;0;0;0;2;T-Solde;K-Modification mvts de stock;L-Détail structure de coût;;;;;;;;;;;Réceptions
GESPTH2;T;K;L; ; ; ; ; ; ; ; ; ; ;17875;16462;50860;0;0;0;0;0;0;0;0;0;0;2;T-Solde;K-Modification mvts de stock;L-Détail structure de coût;;;;;;;;;;;Réceptions
LECTRACE;S; ; ; ; ; ; ; ; ; ; ; ; ;12225;0;0;0;0;0;0;0;0;0;0;0;0;1;S-Suppression;;;;;;;;;;;;;Lecture traces
GESSTQ;Q; ; ; ; ; ; ; ; ; ; ; ; ;23884;0;0;0;0;0;0;0;0;0;0;0;0;2;Q-Changement de statut;;;;;;;;;;;;;Contrôle qualité
GESSOH;P;L;F;A;D;R;I;B;G; ; ; ; ;12450;5852;9784;7974;17875;10574;7445;17825;16684;0;0;0;0;2;P-Proforma;L-Livraison;F-Facture;A-Allocation;D-Solde;R-Préparation;I-Emission;B-Contremarque achat;G-Contremarque production;;;;;Gestion des commandes
GESSQH;P;O; ; ; ; ; ; ; ; ; ; ; ;12450;3312;0;0;0;0;0;0;0;0;0;0;0;2;P-Proforma;O-Commande;;;;;;;;;;;;Gestion des devis
GESANU;P; ; ; ; ; ; ; ; ; ; ; ; ;31911;0;0;0;0;0;0;0;0;0;0;0;0;2;P-Annulation mot de passe;;;;;;;;;;;;;Annuaire utilisateur
CONSSTA;N; ; ; ; ; ; ; ; ; ; ; ; ;16477;0;0;0;0;0;0;0;0;0;0;0;0;1;N-Tous niveaux;;;;;;;;;;;;;Statistiques
SYRACHPPSI;M;C; ; ; ; ; ; ; ; ; ; ; ;31737;31737;0;0;0;0;0;0;0;0;0;0;0;1;M-Consultation;C-Consultation;;;;;;;;;;;;#N/A
SYRVENSPSI;M;C; ; ; ; ; ; ; ; ; ; ; ;31737;31737;0;0;0;0;0;0;0;0;0;0;0;1;M-Consultation;C-Consultation;;;;;;;;;;;;#N/A
GESPRH;L;G; ; ; ; ; ; ; ; ; ; ; ;5852;12257;0;0;0;0;0;0;0;0;0;0;0;2;L-Livraison;G-Colisage;;;;;;;;;;;;Bons de préparation
GESPRH2;L;G; ; ; ; ; ; ; ; ; ; ; ;5852;12257;0;0;0;0;0;0;0;0;0;0;0;2;L-Livraison;G-Colisage;;;;;;;;;;;;Bons de préparation
GESBBY;K; ; ; ; ; ; ; ; ; ; ; ; ;16462;0;0;0;0;0;0;0;0;0;0;0;0;2;K-Modification mvts de stock;;;;;;;;;;;;;Assemblage
GESDBY;K; ; ; ; ; ; ; ; ; ; ; ; ;16462;0;0;0;0;0;0;0;0;0;0;0;0;2;K-Modification mvts de stock;;;;;;;;;;;;;Désassemblage
GESITN;K; ; ; ; ; ; ; ; ; ; ; ; ;16462;0;0;0;0;0;0;0;0;0;0;0;0;2;K-Modification mvts de stock;;;;;;;;;;;;;Interventions
GESMTK;K; ; ; ; ; ; ; ; ; ; ; ; ;16462;0;0;0;0;0;0;0;0;0;0;0;0;2;K-Modification mvts de stock;;;;;;;;;;;;;Suivi de fabrication
GESSMO;K; ; ; ; ; ; ; ; ; ; ; ; ;16462;0;0;0;0;0;0;0;0;0;0;0;0;2;K-Modification mvts de stock;;;;;;;;;;;;;Sorties diverses
GESSMR;K; ; ; ; ; ; ; ; ; ; ; ; ;16462;0;0;0;0;0;0;0;0;0;0;0;0;2;K-Modification mvts de stock;;;;;;;;;;;;;Entrées diverses
GESSRH;K; ; ; ; ; ; ; ; ; ; ; ; ;16462;0;0;0;0;0;0;0;0;0;0;0;0;2;K-Modification mvts de stock;;;;;;;;;;;;;Retours client
GESSRL;K; ; ; ; ; ; ; ; ; ; ; ; ;16462;0;0;0;0;0;0;0;0;0;0;0;0;2;K-Modification mvts de stock;;;;;;;;;;;;;Retours prêt
GESSRS;K; ; ; ; ; ; ; ; ; ; ; ; ;16462;0;0;0;0;0;0;0;0;0;0;0;0;2;K-Modification mvts de stock;;;;;;;;;;;;;Retours matière sous-traitance
