CODINT_0;flags;Désignation
GESHOI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Articles pour horodatage
GESHTMMAI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Texte e-mails CRM
GESICA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Coûts standards actualisés
GESICB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Coûts standards budget
GESICD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Coûts standards
GESICS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Coûts standards simulés
GESICT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Incoterms
GESICV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage compteurs versions
GESIDP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage saisie factures tiers
GESINO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Nomenclatures NC8
GESINVCND;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Conditions de facturation
GESITF;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Articles - Sites
GESITG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Catégorie article
GESJOU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Journaux comptables
GESLDA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Lien Dépenses-Biens comptables
GESLDS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Leads
GESLEA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Contrats location financement
GESLED;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Référentiels
GESLGT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Regroupement des dépenses
GESLOC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Emplacements
GESLPN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Identifiant contenant interne
GESLPNAFF;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Affectation numéro contenant
GESLPNOPE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Opérations numéro contenant
GESMAC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Parc client
GESMAT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Règles rapprochement
GESMCL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plan des fiches techniques
GESMDL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plan de travail
GESMDLA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plan de travail
GESMES;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage MES
GESMFC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Consultation prix revient
GESMFCP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Consultation coût prévisionnel
GESMFL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Ordres de fabrication
GESMFSH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Lier numéros de série
GESMGL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Planning global
GESMGLA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Planning global
GESMIL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plan de production
GESMML;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plan de suivi matières
GESMMS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage MMS
GESMOL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plan de suivi des temps
GESMPL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pilotage des plans de suivi
GESMRE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plan de réintégration
GESMRL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Regroupement
GESMRLA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plan de regroupement
GESMSLW;{};Cas d'emploi numéro de série
GESMTL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Suivi fabrication
GESMWC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Sections de valorisation
GESMWI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Coûts de revient industriels
GESMWS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Postes de charge
GESMWW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Cas d'emploi postes
GESMXL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Publipostages XML
GESNCSA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Actions
GESNCSH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Non-conformité
GESNCSP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plan d'action
GESNTG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Catégories notes
GESOMM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Publipostage
GESOMN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Campagne de presse
GESOMP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Campagne d'appels
GESOMR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Etat mailing
GESOMT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Salons professionnels
GESONA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Catégories frais généraux
GESOPP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Affaire
GESORO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage APS
GESORZ;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Prévisions de consommation
GESORZS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Prévisions de consommation
GESOVE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Codes frais généraux
GESPAS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramètres interface comptable
GESPBL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Familles de compétences
GESPBY;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Assemblage/Désassemblage
GESPCB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramètres calculs besoins
GESPCO;{};Codes préparation
GESPDB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Débits de points
GESPDM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage déversement
GESPEC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage des escalades
GESPER;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Périodes
GESPFI1;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Eléments de facturation achats
GESPIT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pivots
GESPJA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramètres jalonnement
GESPLM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage PLM
GESPLP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plan de production
GESPOC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des commandes ouvertes
GESPOI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plan de l'acheteur
GESPOO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pools bancaires
GESPOS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Codes postaux
GESPOV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Visu des commandes ouvertes
GESPPA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage code préparation
GESPPC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage tarifs achats
GESPPD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Réponses
GESPPL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Saisie des tarifs
GESPPR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Motifs tarifs achats
GESPPTO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pré-réception des commandes
GESPPTS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pré-réception des expéditions
GESPPY;{};Positive Pay
GESPQH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Demandes appel d'offre
GESPRE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plan préparation d'expéditions
GESPREPI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Facture d'acompte
GESPRM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage extraction
GESPRS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Structure tarifs achats
GESPRSS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Structure tarifs ventes
GESPRT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Bons de préparation
GESPRV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Prestataires d'honoraires
GESPS1;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Déclencheurs statistiques
GESPS2;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramètres statistiques
GESPTA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction appel d'offre
GESPTC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction commande
GESPTD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction demande d'achat
GESPTE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction ordre ss-traitance
GESPTF;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction fact./avoir achat
GESPTN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction retour fournisseur
GESPTO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Règles d'affectation
GESPTR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction Réception
GESPTR2;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction Réception
GESPTT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction commande ouverte
GESPVT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage événements avancé
GESPWA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramètres agrégation compta.
GESPWI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Consulter en-cours ss-trait.
GESPYRA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage HRMS NA
GESQCR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Demandes d'analyse
GESQLC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Fiches techniques
GESQST;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Questions
GESQUE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Queues
GESRCC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Factures périodiques clients
GESRCS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Factures périodiques fourn
GESRDE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Associations - définitions
GESREC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Recodifications massives
GESREP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Représentants
GESRLK;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Relevé bancaire
GESROT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Opérations standard
GESROU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des gammes
GESROW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Cas d'emploi gammes
GESRQW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Demandes de garantie
GESRRS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Réservations de ressources
GESRSE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Ressources
GESRTZ;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des retenues
GESRVA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Associations - valeurs
GESSCC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Consultation prix revient
GESSCCP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Consultation coût prévisionnel
GESSCP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Déroulement scripts d'appel
GESSCS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Changements stock
GESSCSL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Changements stock
GESSCT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Changements stock
GESSEA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Secteurs d'activité
GESSER;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramètres passerelle paiement
GESSES;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Saisonnalités
GESSFA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage SFA NA
GESSFI1;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Eléments de facturation ventes
GESSHIP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Expédition
GESSLA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction avoir
GESSLC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction commande
GESSLD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transactions livraison
GESSLD2;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction livraison
GESSLI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction facture
GESSLL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction retours prêt
GESSLM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Renumérotation/mélange
GESSLO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction commande ouverte
GESSLQ;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction devis
GESSLR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transaction retour client
GESSLS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transac.retours matière ss-trt
GESSLT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Modification de lot
GESSMX;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Changement caractéristiques
GESSNE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Définition révision tarifs
GESSNP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Inventaires
GESSNX;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Sessions inventaires
GESSOL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Solutions
GESSOR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des commandes ouvertes
GESSOT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Sorties diverses
GESSOV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Visu demandes de livraisons
GESSPC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage tarifs ventes
GESSPK;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Colisage
GESSPL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Saisie des tarifs
GESSPP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Génération catalogues tarifs
GESSPR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Motifs tarifs ventes
GESSQT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Contrôle qualité
GESSRG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plans de rangement
GESSRO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plan de réapprovisionnement
GESSRT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Entrées diverses
GESSSP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Supports de sélection
GESSST;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transferts sous-traitants
GESSTC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Structures de coûts
GESSTCITF;{};Frais d'approche - site
GESSTE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramètres stocks
GESSTR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Retours sous-traitants
GESSWA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramètres agrégation compta.
GESSYP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramètres de synchronisation
GESSZP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage Prévision APS
GESTAM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Modes de règlement
GESTAU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Utilisateurs Safe X3 WAS
GESTBA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Panier d'achat
GESTBO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Alternatives nomenclature
GESTBU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transactions de budgets
GESTCA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Affectation des compteurs
GESTCI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Mappage comptes inter-sociétés
GESTCM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Méthodes de valorisation
GESTCO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Conversions d'unités
GESTCT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Réponses
GESTCU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Devises
GESTCY;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pays
GESTDA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Escomptes/Agios
GESTEC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Nature transaction
GESTED;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Code édition
GESTEM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Equipes
GESTES;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Codes frais
GESTFB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Fichiers bancaires
GESTFC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Fichier trésorerie
GESTFO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Formules
GESTFOLEG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Formules par législation
GESTFT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Fichier déclaration honoraires
GESTGL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Dictionnaire des cibles
GESTGP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Supports de présentation
GESTIT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Articles Safe X3 WAS
GESTKI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Suivi OF
GESTLA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Langues
GESTLO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types emplacements
GESTLP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Lignes de produits
GESTMD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Modes livraisons
GESTMS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Messages
GESTNH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Note de transport
GESTPA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Emballages
GESTPE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types d'écritures comptables
GESTPM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Modèles d'édition
GESTPN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types de retours
GESTPT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Conditions paiement
GESTPV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types facture fournisseur
GESTPV2;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types facture fournisseur
GESTPY;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transactions de règlements
GESTRE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types de retours
GESTRN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Arrondis
GESTRNP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transport
GESTRO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Alternatives gammes
GESTRP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Politiques de réapprovisionnement
GESTRU;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Règles d'allocations / sorties
GESTSA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Coef stock sécurité
GESTSC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Régime statistique
GESTSD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types de livraisons
GESTSG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types changement de stock
GESTSH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transactions objets métiers
GESTSK;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Tâche
GESTSO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types de commandes
GESTSQ;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types de devis
GESTSR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Rebuts
GESTST;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Statuts stock
GESTSV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types facture vente
GESTSV2;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Types de factures
GESTTN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Type note transport
GESTUN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Unités
GESTUV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Périodes d'indisponibilité
GESTUVM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Périodes d'indisponibilité
GESTVB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Régime de taxe du tiers
GESTVC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Détermination des taxes
GESTVI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Niveau de taxe
GESTVT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Taxes
GESTWC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Centres de charge
GESTWD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Schémas hebdomadaires
GESTWDCRM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Schémas hebdomadaires
GESTXS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage tableaux de bord
GESTXW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Consultation tableaux de bord
GESTZL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Alimentation zones libres
GESUNNB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Numéro ONU
GESVATGRP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Entités de TVA
GESVCL;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Classification fiscale
GESVEF;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Formulaire TVA
GESVFE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Déclarations de TVA
GESVTB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Cases TVA
GESXED;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Import delfort
GESXEDH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Historique Import delfort
GESYAP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Programme de production
GESYAV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion Avis
GESYBF;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion bons commandes fiscaux
GESYBH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Bordereaux de transmission
GESYCD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Destinations comptables
GESYCO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Code comptable automatique
GESYDEM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Demande Chiffrage
GESYFB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Flux par baque
GESYFI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion des fiches inventaire
GESYFP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Saisie des fiches inventaire
GESYGO;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Gestion d'objet
GESYHD;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Historique déclaration
GESYNA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Plan d'actions
GESYNC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Non-Conformités
GESYNG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};NC - Demande de dérogation
GESYPH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Réception factures
GESYPV;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Ventilation livraison client
GESYRS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Retenue à la source
GESYSI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Fiche chiffrage
GESYSIM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Chiffrage
GESYSIM1;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Chiffrage test
GESYTSK;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Tâche NC
GESYVP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Version PIC
GESYXC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Colisage
GESYXE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage Easy Planning
GESYXED;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Import delfort
GESYXG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage TECHNO-GM
GEXPENCH;{};Enchaînements d'exports
GFSOPTFREE;{};Retirer de l’ordonnancement
GIMPENCH;{};Enchaînements d'imports
GIMPEXPPAR;{};Paramètres import/export
GMAINT;{};Maintenance des tables en lig.
GRACAL;{};Calcul des subventions
GSTDCOL;{};Maintenance en colonnes
HONLINANN;{};Annulation lignes d'honoraires
HONLINEXT;{};Extraction des honoraires
IDNGEN;{};Génération factures d'agios
IMPAYE;{};Impayés
IMPDOS;{};Import dossier
IMPORTV3;{};Structuration tableau/import
IPTACPTCLI;{};Imputation acomptes clients
IPTACPTFOU;{};Imputation acomptes
LCKSRC;{};Traitements verrouillés
LEAPAY;{};Evénements de redevance
LETTRAGE;{};Lettrage
LETTRAUTO;{};Lettrage automatique
LOFGRPFAS;{};Immobilisation des dépenses
LOFVATREG;{};Régularisation TVA - Dépenses
LTPAR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Connexion à Sage sales tax
MESINT;{};Lancement interface MES
MIGX3PV12;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};X3 People - Migration
MMSINT;{};Lancement interface MMS
MODCPT;{};Valeurs des compteurs
MONO;{};Mode mono
MULTI;{};Mode multi
MULTIWOX;{};Planification multi-niveaux
NTFQUIT;{};Notification de réglements
