CODINT_0;flags;Désignation
GESAGF;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Groupes de sites
GESAGS;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Paramétrage protection données
GESAHI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Historisation / Epuration
GESAIA;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Destinations par utilisateur
GESAIM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Destinations
GESAIN;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Interlocuteurs
GESAIT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Composants interactifs
GESALB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Liens subdivisions
GESALH;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Requêteur
GESALQ;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Requêteur SQL
GESALT;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Requêteur graphique
GESAM3;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Procédures de migration
GESAMC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Mot-clé d'aide
GESAME;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Profil métier
GESAMI;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transactions système
GESAMK;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Dictionnaire des écrans
GESAMM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Mémos
GESANG;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Navigation
GESANM;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Compteurs document
GESANX;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Index spécifiques
GESAOB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Objets de base
GESAOC;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Personnalisation objets
GESAOE;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Modèles import/export
GESAOP;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Propriétés objets
GESAOR;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Transcodage Import/Export
GESAOW;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Sas import/export
GESAPB;{'C': 'Création', 'M': 'Modification', 'S': 'Suppression'};Pool Java Bridge
